,Blinkroot Seed,Daybloom Seed,Deathweed Seed,Fireblossom Seed,Moonglow Seed,Shiverthorn Seed,Waterleaf Seed
Herb_Bag_8630,18,15,19,6,8,19,9
Herb_Bag_8631,17,39,18,44,21,19,9
Herb_Bag_8632,27,30,26,33,7,6,13
Herb_Bag_8633,34,24,16,14,9,7,17
Herb_Bag_8634,24,23,26,19,13,27,30
Herb_Bag_8635,16,29,17,33,16,23,2
Herb_Bag_8636,24,26,16,12,13,26,6
Herb_Bag_8637,23,39,14,7,17,17,9
Herb_Bag_8638,21,23,25,41,12,24,16
Herb_Bag_8639,19,42,20,15,13,13,15
Herb_Bag_8640,32,10,19,11,4,17,6
Herb_Bag_8641,8,4,22,20,4,22,18
Herb_Bag_8642,35,16,29,11,0,25,14
Herb_Bag_8643,15,25,20,21,6,16,2
Herb_Bag_8644,13,28,23,32,10,23,15
Herb_Bag_8645,14,15,19,15,11,22,15
Herb_Bag_8646,27,31,25,18,8,21,11
Herb_Bag_8647,15,21,24,14,14,17,6
Herb_Bag_8648,22,20,18,25,10,22,15
Herb_Bag_8649,16,15,17,26,14,46,6
Herb_Bag_8650,28,23,27,10,11,14,8
Herb_Bag_8651,21,26,10,24,12,22,8
Herb_Bag_8652,18,11,24,30,18,20,14
Herb_Bag_8653,11,27,24,33,13,14,5
Herb_Bag_8654,19,23,22,25,8,26,10
Herb_Bag_8655,21,30,21,14,5,17,15
Herb_Bag_8656,21,10,27,36,14,14,20
Herb_Bag_8657,13,16,24,16,11,28,21
Herb_Bag_8658,16,6,24,35,12,14,5
Herb_Bag_8659,2,6,14,30,8,21,19
Herb_Bag_8660,33,28,12,1,19,21,14
Herb_Bag_8661,17,10,21,22,10,28,16
Herb_Bag_8662,16,31,21,17,15,31,7
Herb_Bag_8663,13,25,17,17,8,18,21
Herb_Bag_8664,20,7,10,19,10,22,18
Herb_Bag_8665,21,21,22,30,9,24,5
Herb_Bag_8666,18,26,20,36,2,20,12
Herb_Bag_8667,14,40,17,0,18,26,4
Herb_Bag_8668,18,17,24,12,18,15,15
Herb_Bag_8669,25,22,18,44,10,4,13
Herb_Bag_8670,12,18,17,18,9,15,6
Herb_Bag_8671,24,22,16,27,21,31,12
Herb_Bag_8672,45,19,28,25,10,22,15
Herb_Bag_8673,15,35,18,37,13,28,21
Herb_Bag_8674,15,14,12,25,17,16,19
Herb_Bag_8675,31,40,16,22,10,21,0
Herb_Bag_8676,19,17,29,15,18,23,14
Herb_Bag_8677,6,20,12,33,15,31,20
Herb_Bag_8678,32,18,26,25,7,35,14
Herb_Bag_8679,23,19,20,49,12,15,23
Herb_Bag_8680,23,21,11,32,14,36,10
Herb_Bag_8681,34,24,21,31,5,16,11
Herb_Bag_8682,26,18,27,0,17,17,11
Herb_Bag_8683,17,13,8,32,10,33,9
Herb_Bag_8684,27,15,15,16,13,31,23
Herb_Bag_8685,17,26,12,38,11,33,9
Herb_Bag_8686,17,30,16,7,13,14,1
Herb_Bag_8687,27,32,26,13,4,11,13
Herb_Bag_8688,26,18,11,29,9,12,22
Herb_Bag_8689,20,25,16,27,11,23,12
Herb_Bag_8690,13,30,16,21,12,24,8
Herb_Bag_8691,19,40,17,25,17,17,13
Herb_Bag_8692,24,42,25,32,16,13,4
Herb_Bag_8693,18,24,14,23,14,15,13
Herb_Bag_8694,18,17,15,43,19,18,13
Herb_Bag_8695,15,17,26,41,3,25,22
Herb_Bag_8696,15,10,18,27,13,23,14
Herb_Bag_8697,13,16,6,28,1,19,9
Herb_Bag_8698,27,35,23,36,5,22,11
Herb_Bag_8699,18,22,16,24,8,24,22
Herb_Bag_8700,15,20,24,45,7,13,18
Herb_Bag_8701,17,32,17,51,13,27,2
Herb_Bag_8702,23,20,23,28,16,22,15
Herb_Bag_8703,14,21,20,15,16,22,13
Herb_Bag_8704,23,32,7,39,1,22,21
Herb_Bag_8705,15,23,10,33,13,26,11
Herb_Bag_8706,24,30,24,20,6,19,14
Herb_Bag_8707,25,18,22,49,3,21,21
Herb_Bag_8708,25,19,13,25,10,18,26
Herb_Bag_8709,27,34,27,11,7,28,17
Herb_Bag_8710,17,16,20,33,14,18,19
Herb_Bag_8711,19,19,22,31,11,21,13
Herb_Bag_8712,27,39,13,47,7,20,12
Herb_Bag_8713,24,29,32,22,9,13,18
Herb_Bag_8714,29,23,21,21,9,12,9
Herb_Bag_8715,15,30,27,10,6,26,7
Herb_Bag_8716,26,21,12,29,12,26,19
Herb_Bag_8717,21,11,20,0,8,13,11
Herb_Bag_8718,27,30,11,35,6,24,19
Herb_Bag_8719,14,32,20,15,6,20,15
Herb_Bag_8720,24,18,25,20,5,15,25
Herb_Bag_8721,22,21,20,2,10,19,15
Herb_Bag_8722,10,21,26,28,10,18,8
Herb_Bag_8723,18,23,17,19,12,25,13
Herb_Bag_8724,20,19,20,12,12,30,14
Herb_Bag_8725,9,28,31,0,4,17,14
Herb_Bag_8726,24,17,8,25,18,23,18
Herb_Bag_8727,12,15,21,32,4,22,12
Herb_Bag_8728,13,20,17,18,0,21,21
Herb_Bag_8729,22,27,18,7,5,20,14
Herb_Bag_8730,22,8,14,38,10,21,6
Herb_Bag_8731,17,30,16,4,4,24,8
Herb_Bag_8732,22,17,16,29,12,30,19
Herb_Bag_8733,10,27,19,30,4,22,2
Herb_Bag_8734,17,13,20,31,4,7,4
Herb_Bag_8735,24,20,22,27,15,17,21
Herb_Bag_8736,17,18,22,26,7,21,8
Herb_Bag_8737,13,38,19,16,5,10,4
Herb_Bag_8738,15,15,24,3,9,23,13
Herb_Bag_8739,21,36,26,14,3,17,14
Herb_Bag_8740,12,28,19,28,7,17,22
Herb_Bag_8741,16,1,26,24,9,23,11
Herb_Bag_8742,22,21,12,26,11,31,17
Herb_Bag_8743,16,30,28,20,9,22,13
Herb_Bag_8744,16,40,9,24,8,22,10
Herb_Bag_8745,25,22,27,15,6,25,5
Herb_Bag_8746,29,31,14,24,5,22,12
Herb_Bag_8747,23,18,9,0,15,24,8
Herb_Bag_8748,11,24,23,3,7,20,8
Herb_Bag_8749,31,25,15,31,11,22,26
Herb_Bag_8750,13,25,19,16,5,25,17
Herb_Bag_8751,30,14,21,37,18,31,10
Herb_Bag_8752,19,22,22,17,7,24,6
Herb_Bag_8753,23,7,18,25,15,22,13
Herb_Bag_8754,21,26,20,25,10,31,20
Herb_Bag_8755,26,37,20,30,11,23,16
Herb_Bag_8756,16,12,13,6,1,22,22
Herb_Bag_8757,20,19,23,20,6,21,11
Herb_Bag_8758,19,22,18,31,12,7,20
Herb_Bag_8759,25,24,19,30,8,12,22
Herb_Bag_8760,19,21,16,33,7,22,9
Herb_Bag_8761,36,29,24,0,7,17,17
Herb_Bag_8762,16,20,10,0,11,14,20
Herb_Bag_8763,18,25,25,35,6,24,14
Herb_Bag_8764,11,8,16,44,0,28,10
Herb_Bag_8765,15,40,17,26,10,35,8
Herb_Bag_8766,16,31,11,43,16,36,12
Herb_Bag_8767,25,32,8,27,18,19,18
Herb_Bag_8768,19,20,24,24,7,17,7
Herb_Bag_8769,8,18,27,26,7,16,13
Herb_Bag_8770,15,34,25,27,15,19,18
Herb_Bag_8771,21,16,27,21,2,22,20
Herb_Bag_8772,13,26,21,25,15,34,10
Herb_Bag_8773,20,16,33,23,12,10,9
Herb_Bag_8774,16,21,31,16,13,2,20
Herb_Bag_8775,20,36,21,16,8,27,19
Herb_Bag_8776,26,15,18,31,10,18,13
Herb_Bag_8777,12,21,15,55,10,11,10
Herb_Bag_8778,7,29,20,19,9,14,16
Herb_Bag_8779,15,40,14,6,14,26,0
Herb_Bag_8780,27,22,24,16,12,36,7
Herb_Bag_8781,26,22,17,37,8,29,25
Herb_Bag_8782,12,29,21,25,22,18,10
Herb_Bag_8783,23,36,8,19,7,8,6
Herb_Bag_8784,18,11,23,23,20,12,12
Herb_Bag_8785,19,16,20,23,10,22,20
Herb_Bag_8786,26,24,14,25,10,31,6
Herb_Bag_8787,22,6,20,3,11,31,26
Herb_Bag_8788,12,20,26,11,12,23,12
Herb_Bag_8789,18,26,10,31,7,23,15
Herb_Bag_8790,10,20,12,43,6,8,20
Herb_Bag_8791,12,33,22,20,6,25,19
Herb_Bag_8792,7,9,16,31,11,19,18
Herb_Bag_8793,22,29,21,29,13,16,18
Herb_Bag_8794,17,31,22,32,6,13,11
Herb_Bag_8795,11,24,17,21,7,10,16
Herb_Bag_8796,24,35,18,43,5,22,17
Herb_Bag_8797,14,34,17,22,2,21,21
Herb_Bag_8798,23,2,30,34,17,19,9
Herb_Bag_8799,17,23,17,36,6,19,8
Herb_Bag_8800,29,26,21,29,10,12,22
Herb_Bag_8801,17,30,20,7,9,11,13
Herb_Bag_8802,15,5,21,18,21,27,17
Herb_Bag_8803,19,32,19,23,6,18,21
Herb_Bag_8804,22,19,17,28,16,18,15
Herb_Bag_8805,16,32,17,16,13,28,14
Herb_Bag_8806,14,20,32,44,4,24,21
Herb_Bag_8807,10,31,21,21,13,24,22
Herb_Bag_8808,21,29,38,39,6,25,24
Herb_Bag_8809,26,43,27,18,12,31,8
Herb_Bag_8810,14,18,21,16,11,20,14
Herb_Bag_8811,21,25,14,4,8,25,9
Herb_Bag_8812,28,17,18,5,11,13,21
Herb_Bag_8813,14,19,22,0,20,16,18
Herb_Bag_8814,23,12,26,40,12,27,12
Herb_Bag_8815,19,20,19,20,6,22,17
Herb_Bag_8816,23,13,25,16,7,31,20
Herb_Bag_8817,15,17,10,20,17,23,9
Herb_Bag_8818,28,26,20,34,8,23,14
Herb_Bag_8819,26,5,25,20,5,8,8
Herb_Bag_8820,17,11,32,14,9,12,15
Herb_Bag_8821,26,31,17,26,10,26,20
Herb_Bag_8822,26,27,13,32,14,19,12
Herb_Bag_8823,16,14,24,26,8,23,16
Herb_Bag_8824,15,22,14,35,2,29,10
Herb_Bag_8825,12,18,24,14,14,19,14
Herb_Bag_8826,18,38,20,31,9,17,9
Herb_Bag_8827,19,27,20,14,10,36,14
Herb_Bag_8828,22,25,21,36,10,10,26
Herb_Bag_8829,18,32,18,19,4,18,23
Herb_Bag_8830,19,20,33,34,9,19,20
Herb_Bag_8831,25,17,20,14,5,15,15
Herb_Bag_8832,20,13,20,32,7,15,13
Herb_Bag_8833,18,19,18,10,14,27,3
Herb_Bag_8834,17,31,15,12,8,22,16
Herb_Bag_8835,16,24,17,21,7,28,20
Herb_Bag_8836,33,26,23,30,20,13,12
Herb_Bag_8837,21,4,14,38,3,18,21
Herb_Bag_8838,15,5,18,19,15,16,25
Herb_Bag_8839,18,32,25,22,12,6,14
Herb_Bag_8840,21,22,15,7,7,13,18
Herb_Bag_8841,15,20,31,36,4,16,6
Herb_Bag_8842,15,19,13,0,5,13,8
Herb_Bag_8843,38,34,13,32,9,30,7
Herb_Bag_8844,21,13,15,27,11,15,12
Herb_Bag_8845,22,26,22,27,9,21,5
Herb_Bag_8846,13,22,19,24,12,14,24
Herb_Bag_8847,13,17,29,48,2,17,10
Herb_Bag_8848,28,9,16,25,7,25,15
Herb_Bag_8849,30,16,24,21,5,17,18
Herb_Bag_8850,21,32,13,50,12,31,17
Herb_Bag_8851,25,20,24,14,11,26,10
Herb_Bag_8852,23,16,20,24,13,14,20
Herb_Bag_8853,24,29,20,9,10,26,32
Herb_Bag_8854,22,25,15,28,8,21,13
Herb_Bag_8855,24,40,17,21,13,10,20
Herb_Bag_8856,9,25,10,0,10,25,10
Herb_Bag_8857,18,32,24,27,10,16,12
Herb_Bag_8858,26,31,29,39,14,18,20
Herb_Bag_8859,18,28,21,4,12,9,5
Herb_Bag_8860,18,30,17,25,8,22,24
Herb_Bag_8861,30,17,24,19,11,17,4
Herb_Bag_8862,19,25,15,9,4,8,13
Herb_Bag_8863,14,36,24,24,8,15,11
Herb_Bag_8864,20,23,18,25,10,13,7
Herb_Bag_8865,31,23,29,26,0,18,17
Herb_Bag_8866,11,20,19,44,12,18,3
Herb_Bag_8867,17,27,14,31,5,25,12
Herb_Bag_8868,19,9,16,21,12,27,20
Herb_Bag_8869,15,9,19,36,15,21,15
Herb_Bag_8870,21,21,20,16,16,20,8
Herb_Bag_8871,7,34,22,18,14,17,13
Herb_Bag_8872,10,10,16,34,14,15,17
Herb_Bag_8873,11,18,16,25,11,8,19
Herb_Bag_8874,13,32,18,6,15,17,19
Herb_Bag_8875,19,22,17,9,11,23,11
Herb_Bag_8876,10,36,13,30,13,14,15
Herb_Bag_8877,25,12,21,38,7,12,10
Herb_Bag_8878,20,10,30,34,10,19,21
Herb_Bag_8879,25,24,18,46,15,17,23
Herb_Bag_8880,19,39,20,24,0,23,13
Herb_Bag_8881,9,12,27,18,19,11,22
Herb_Bag_8882,15,19,29,5,5,15,22
Herb_Bag_8883,16,3,18,0,6,23,9
Herb_Bag_8884,9,29,19,19,7,24,15
Herb_Bag_8885,18,33,23,0,5,1,20
Herb_Bag_8886,17,25,14,16,13,24,20
Herb_Bag_8887,23,18,15,28,6,24,11
Herb_Bag_8888,26,10,22,23,19,14,13
Herb_Bag_8889,20,22,19,22,6,30,13
Herb_Bag_8890,22,27,19,15,11,16,15
Herb_Bag_8891,19,38,19,0,20,30,19
Herb_Bag_8892,29,15,22,14,15,4,13
Herb_Bag_8893,16,40,29,39,6,9,14
Herb_Bag_8894,16,33,14,26,10,11,20
Herb_Bag_8895,11,25,24,15,12,10,21
Herb_Bag_8896,24,8,17,19,4,22,16
Herb_Bag_8897,16,11,22,34,14,36,9
Herb_Bag_8898,25,25,24,23,15,20,14
Herb_Bag_8899,25,9,21,2,11,21,13
Herb_Bag_8900,26,17,26,31,6,19,20
Herb_Bag_8901,19,30,18,15,13,22,14
Herb_Bag_8902,20,32,18,22,5,24,13
Herb_Bag_8903,21,15,15,35,10,14,14
Herb_Bag_8904,18,35,26,36,5,26,21
Herb_Bag_8905,28,31,17,13,4,29,8
Herb_Bag_8906,18,20,28,33,7,26,12
Herb_Bag_8907,27,8,27,21,9,23,17
Herb_Bag_8908,20,36,22,10,0,4,9
Herb_Bag_8909,26,19,26,24,14,24,6
Herb_Bag_8910,23,27,21,35,4,5,12
Herb_Bag_8911,25,14,12,17,6,15,14
Herb_Bag_8912,21,20,19,21,11,25,8
Herb_Bag_8913,15,5,14,20,1,32,22
Herb_Bag_8914,25,4,11,20,4,15,22
Herb_Bag_8915,27,7,9,29,15,13,22
Herb_Bag_8916,17,30,21,19,10,26,16
Herb_Bag_8917,25,13,6,14,11,9,21
Herb_Bag_8918,21,20,30,0,13,22,14
Herb_Bag_8919,16,40,20,23,8,17,21
Herb_Bag_8920,9,29,21,1,13,14,16
Herb_Bag_8921,24,27,25,24,12,20,17
Herb_Bag_8922,21,7,32,24,6,25,17
Herb_Bag_8923,12,27,23,8,9,21,19
Herb_Bag_8924,22,16,20,18,15,4,17
Herb_Bag_8925,30,27,26,28,9,24,4
Herb_Bag_8926,13,29,11,24,8,7,21
Herb_Bag_8927,24,14,18,29,12,12,8
Herb_Bag_8928,24,29,19,0,11,15,22
Herb_Bag_8929,23,19,20,18,8,22,15
Herb_Bag_8930,11,35,17,22,6,7,9
Herb_Bag_8931,33,13,19,16,9,27,2
Herb_Bag_8932,27,22,29,9,7,18,11
Herb_Bag_8933,13,23,23,7,11,17,15
Herb_Bag_8934,19,10,28,42,2,19,13
Herb_Bag_8935,15,22,22,40,6,20,16
Herb_Bag_8936,17,14,21,0,11,27,15
Herb_Bag_8937,19,29,16,2,7,21,10
Herb_Bag_8938,31,17,14,11,14,25,2
Herb_Bag_8939,19,35,16,0,19,20,8
Herb_Bag_8940,16,24,20,35,3,21,15
Herb_Bag_8941,16,17,25,41,4,22,23
Herb_Bag_8942,26,20,14,7,19,19,19
Herb_Bag_8943,23,26,12,22,8,18,16
Herb_Bag_8944,18,7,25,17,11,42,18
Herb_Bag_8945,10,8,28,5,5,14,17
Herb_Bag_8946,22,5,20,37,16,30,16
Herb_Bag_8947,23,21,24,29,8,11,7
Herb_Bag_8948,25,26,26,21,5,25,20
Herb_Bag_8949,14,23,19,26,13,25,15
Herb_Bag_8950,18,9,25,31,13,12,17
Herb_Bag_8951,18,20,22,30,16,17,21
Herb_Bag_8952,29,11,16,30,18,22,11
Herb_Bag_8953,25,15,10,46,19,27,20
Herb_Bag_8954,28,38,25,15,9,17,18
Herb_Bag_8955,25,37,25,24,0,19,20
Herb_Bag_8956,23,26,22,0,12,28,17
Herb_Bag_8957,14,12,17,13,12,18,6
Herb_Bag_8958,16,14,20,41,20,26,11
Herb_Bag_8959,28,9,14,10,7,21,24
Herb_Bag_8960,29,23,20,6,10,13,12
Herb_Bag_8961,19,34,23,22,8,15,18
Herb_Bag_8962,29,51,16,25,13,30,11
Herb_Bag_8963,17,18,12,1,11,31,18
Herb_Bag_8964,17,19,28,21,3,24,22
Herb_Bag_8965,20,23,14,18,12,34,5
Herb_Bag_8966,21,28,15,18,20,21,0
Herb_Bag_8967,18,19,27,44,8,25,17
Herb_Bag_8968,20,11,18,9,16,18,15
Herb_Bag_8969,10,27,19,1,14,8,23
Herb_Bag_8970,16,14,10,26,15,20,13
Herb_Bag_8971,17,16,17,59,10,32,32
Herb_Bag_8972,19,17,12,28,0,23,17
Herb_Bag_8973,24,17,18,35,5,13,21
Herb_Bag_8974,27,12,17,36,1,29,10
Herb_Bag_8975,28,19,26,22,7,16,12
Herb_Bag_8976,14,11,18,18,8,3,19
Herb_Bag_8977,16,22,13,28,2,26,19
Herb_Bag_8978,17,23,26,35,8,24,7
Herb_Bag_8979,18,19,22,1,16,27,15
Herb_Bag_8980,35,25,15,6,8,23,26
Herb_Bag_8981,5,3,19,0,13,15,14
Herb_Bag_8982,19,29,16,0,2,19,7
Herb_Bag_8983,20,36,26,20,9,12,20
Herb_Bag_8984,13,28,17,0,16,14,17
Herb_Bag_8985,19,13,17,23,13,7,21
Herb_Bag_8986,5,26,11,39,7,15,23
Herb_Bag_8987,19,32,19,38,12,28,13
Herb_Bag_8988,24,27,25,1,10,14,17
Herb_Bag_8989,20,29,10,16,9,25,23
Herb_Bag_8990,20,36,20,21,12,16,7
Herb_Bag_8991,13,25,9,18,9,9,15
Herb_Bag_8992,15,4,24,0,0,14,12
Herb_Bag_8993,21,25,25,3,4,22,4
Herb_Bag_8994,20,42,19,29,9,23,13
Herb_Bag_8995,19,29,17,23,17,23,7
Herb_Bag_8996,23,42,23,22,9,20,22
Herb_Bag_8997,20,26,19,23,15,26,21
Herb_Bag_8998,10,18,19,18,10,5,11
Herb_Bag_8999,17,21,15,13,10,28,13
Herb_Bag_9000,20,34,9,24,15,26,10
Herb_Bag_9001,16,35,18,20,11,26,12
Herb_Bag_9002,22,23,21,19,8,14,0
Herb_Bag_9003,22,17,21,22,15,25,17
Herb_Bag_9004,18,24,16,20,9,8,1
Herb_Bag_9005,27,23,17,18,8,26,5
Herb_Bag_9006,5,7,21,27,8,13,16
Herb_Bag_9007,14,3,12,34,14,17,19
Herb_Bag_9008,15,32,22,23,17,17,18
Herb_Bag_9009,16,15,21,14,7,33,32
Herb_Bag_9010,32,24,23,22,16,20,5
Herb_Bag_9011,21,31,18,34,20,26,7
Herb_Bag_9012,29,25,18,35,15,13,23
Herb_Bag_9013,26,12,22,48,18,32,13
Herb_Bag_9014,19,17,15,13,4,13,14
Herb_Bag_9015,24,19,18,18,4,25,17
Herb_Bag_9016,32,4,19,9,12,6,18
Herb_Bag_9017,21,28,21,24,10,14,16
Herb_Bag_9018,34,28,16,10,11,18,17
Herb_Bag_9019,26,9,26,23,17,22,16
Herb_Bag_9020,21,27,6,28,7,25,7
Herb_Bag_9021,15,34,19,29,8,23,26
Herb_Bag_9022,21,35,21,14,15,17,22
Herb_Bag_9023,26,20,17,38,14,25,9
Herb_Bag_9024,31,17,21,7,16,11,15
Herb_Bag_9025,15,29,25,39,15,17,16
Herb_Bag_9026,28,26,20,20,15,20,14
Herb_Bag_9027,16,26,12,0,8,26,11
Herb_Bag_9028,13,27,11,30,11,33,18
Herb_Bag_9029,19,17,23,17,5,14,16
Herb_Bag_9030,20,13,23,18,8,31,7
Herb_Bag_9031,16,34,22,35,8,23,15
Herb_Bag_9032,29,30,20,21,15,26,19
Herb_Bag_9033,27,25,17,14,10,26,13
Herb_Bag_9034,24,23,39,17,8,27,8
Herb_Bag_9035,20,30,20,39,13,10,8
Herb_Bag_9036,28,47,30,22,3,26,8
Herb_Bag_9037,10,44,25,8,14,17,12
Herb_Bag_9038,27,16,13,2,10,8,15
Herb_Bag_9039,24,12,20,0,7,16,15
Herb_Bag_9040,11,0,22,15,1,8,12
Herb_Bag_9041,21,34,21,32,7,21,11
Herb_Bag_9042,30,16,10,28,5,23,31
Herb_Bag_9043,18,14,21,29,3,18,4
Herb_Bag_9044,17,9,9,28,13,15,5
Herb_Bag_9045,22,31,22,15,12,20,10
Herb_Bag_9046,22,33,20,2,7,22,35
Herb_Bag_9047,27,18,21,3,3,22,12
Herb_Bag_9048,16,15,2,25,11,35,12
Herb_Bag_9049,19,11,27,23,10,28,14
Herb_Bag_9050,18,14,19,23,14,19,16
Herb_Bag_9051,20,27,19,54,12,30,16
Herb_Bag_9052,21,28,14,41,17,28,5
Herb_Bag_9053,21,19,27,25,6,13,13
Herb_Bag_9054,27,25,14,0,3,17,12
Herb_Bag_9055,14,0,23,7,2,15,8
Herb_Bag_9056,27,11,27,0,5,18,17
Herb_Bag_9057,23,16,16,49,16,27,12
Herb_Bag_9058,28,20,26,33,12,21,19
Herb_Bag_9059,18,39,19,31,6,20,29
Herb_Bag_9060,14,23,14,28,9,14,17
Herb_Bag_9061,15,29,19,16,13,32,7
Herb_Bag_9062,14,24,17,33,6,9,2
Herb_Bag_9063,29,5,22,6,10,7,8
Herb_Bag_9064,17,10,24,29,10,17,22
Herb_Bag_9065,15,6,11,28,5,7,16
Herb_Bag_9066,27,36,18,9,4,22,13
Herb_Bag_9067,20,19,14,29,15,25,10
Herb_Bag_9068,20,23,15,25,14,22,17
Herb_Bag_9069,12,37,13,20,13,20,8
Herb_Bag_9070,8,15,15,10,14,25,14
Herb_Bag_9071,19,7,15,12,18,26,15
Herb_Bag_9072,30,26,12,10,9,9,10
Herb_Bag_9073,20,19,25,38,12,27,13
Herb_Bag_9074,20,5,34,23,10,20,6
Herb_Bag_9075,12,22,31,28,5,19,10
Herb_Bag_9076,22,29,13,23,8,5,14
Herb_Bag_9077,15,32,31,16,10,18,11
Herb_Bag_9078,20,28,21,26,11,36,8
Herb_Bag_9079,11,29,12,0,13,17,12
Herb_Bag_9080,25,28,15,6,14,11,7
Herb_Bag_9081,25,18,19,29,13,20,9
Herb_Bag_9082,22,29,20,3,13,23,5
Herb_Bag_9083,13,26,16,4,18,10,6
Herb_Bag_9084,19,0,20,9,16,31,21
Herb_Bag_9085,22,18,14,18,5,29,3
Herb_Bag_9086,24,30,23,35,4,21,19
Herb_Bag_9087,23,42,15,18,6,19,21
Herb_Bag_9088,9,28,26,0,12,28,18
Herb_Bag_9089,20,12,20,28,15,15,7
Herb_Bag_9090,17,14,17,30,14,21,13
Herb_Bag_9091,10,27,19,36,9,12,14
Herb_Bag_9092,18,24,24,14,5,18,18
Herb_Bag_9093,25,22,11,27,16,16,16
Herb_Bag_9094,16,12,33,0,15,16,19
Herb_Bag_9095,32,21,17,4,9,21,2
Herb_Bag_9096,26,32,34,30,10,22,16
Herb_Bag_9097,18,29,18,21,11,29,9
Herb_Bag_9098,21,4,27,16,12,19,32
Herb_Bag_9099,20,32,32,35,7,10,4
Herb_Bag_9100,31,16,18,18,2,23,14
Herb_Bag_9101,28,18,25,24,7,26,13
Herb_Bag_9102,16,36,15,38,8,26,18
Herb_Bag_9103,24,17,26,37,11,21,17
Herb_Bag_9104,24,29,25,25,5,22,19
Herb_Bag_9105,33,25,12,15,8,25,10
Herb_Bag_9106,14,1,19,0,10,21,16
Herb_Bag_9107,13,44,19,34,18,16,7
Herb_Bag_9108,22,23,25,26,8,16,12
Herb_Bag_9109,18,35,16,25,6,17,14
Herb_Bag_9110,10,37,20,18,3,22,17
Herb_Bag_9111,16,23,14,50,14,19,8
Herb_Bag_9112,19,19,23,5,9,16,5
Herb_Bag_9113,20,36,23,12,18,25,14
Herb_Bag_9114,14,0,25,7,6,12,17
Herb_Bag_9115,23,25,21,19,18,24,21
Herb_Bag_9116,18,25,29,28,15,25,23
Herb_Bag_9117,6,20,18,12,19,27,5
Herb_Bag_9118,27,25,28,20,0,20,13
Herb_Bag_9119,20,21,15,16,3,26,15
Herb_Bag_9120,19,28,24,16,1,20,17
Herb_Bag_9121,27,13,17,24,7,24,14
Herb_Bag_9122,26,29,15,12,5,19,16
Herb_Bag_9123,31,23,14,29,11,22,6
Herb_Bag_9124,29,24,21,17,10,6,16
Herb_Bag_9125,28,22,19,9,10,26,13
Herb_Bag_9126,18,28,22,30,12,18,17
Herb_Bag_9127,29,21,22,28,13,16,12
Herb_Bag_9128,21,19,18,17,9,18,2
Herb_Bag_9129,9,15,24,9,3,19,4
Herb_Bag_9130,14,3,21,27,8,20,9
Herb_Bag_9131,25,34,13,40,8,20,14
Herb_Bag_9132,14,15,14,7,7,23,19
Herb_Bag_9133,26,17,10,22,3,23,3
Herb_Bag_9134,17,34,24,21,19,19,13
Herb_Bag_9135,16,23,25,14,7,15,18
Herb_Bag_9136,22,34,23,0,13,7,18
Herb_Bag_9137,19,20,25,26,11,33,13
Herb_Bag_9138,17,14,25,6,6,17,26
Herb_Bag_9139,25,24,22,10,1,17,14
Herb_Bag_9140,18,15,30,28,6,20,10
Herb_Bag_9141,22,35,21,14,7,14,16
Herb_Bag_9142,19,22,32,2,17,13,14
Herb_Bag_9143,23,24,15,25,9,30,3
Herb_Bag_9144,22,24,21,13,10,18,19
Herb_Bag_9145,23,18,9,11,17,27,9
Herb_Bag_9146,36,19,22,16,13,34,13
Herb_Bag_9147,19,16,23,0,8,21,21
Herb_Bag_9148,25,18,22,0,16,16,10
Herb_Bag_9149,23,10,4,50,15,14,13
Herb_Bag_9150,27,20,31,6,13,13,19
Herb_Bag_9151,18,11,16,11,5,12,8
Herb_Bag_9152,12,23,8,31,14,35,6
Herb_Bag_9153,7,22,25,23,12,26,14
Herb_Bag_9154,21,28,33,22,11,17,12
Herb_Bag_9155,15,15,25,0,0,17,8
Herb_Bag_9156,12,18,25,23,16,16,14
Herb_Bag_9157,28,32,18,9,14,31,22
Herb_Bag_9158,22,13,29,26,10,28,9
Herb_Bag_9159,26,38,6,25,5,15,22
Herb_Bag_9160,18,26,4,16,17,17,14
Herb_Bag_9161,20,43,23,6,8,18,2
Herb_Bag_9162,22,5,17,38,13,23,18
Herb_Bag_9163,14,12,25,12,1,7,10
Herb_Bag_9164,6,8,11,29,9,23,12
Herb_Bag_9165,21,30,13,19,10,4,17
Herb_Bag_9166,11,20,14,14,9,20,14
Herb_Bag_9167,19,27,26,25,13,15,16
Herb_Bag_9168,25,22,19,30,12,15,13
Herb_Bag_9169,24,14,15,26,4,17,14
Herb_Bag_9170,18,12,14,24,10,16,9
Herb_Bag_9171,34,31,25,34,2,21,12
Herb_Bag_9172,18,12,23,21,10,18,11
Herb_Bag_9173,21,26,13,3,12,37,6
Herb_Bag_9174,21,4,27,19,13,26,11
Herb_Bag_9175,13,21,8,11,17,31,15
Herb_Bag_9176,18,25,17,23,15,17,23
Herb_Bag_9177,17,27,27,11,4,21,17
Herb_Bag_9178,14,20,25,22,11,29,4
Herb_Bag_9179,31,19,18,28,11,16,22
Herb_Bag_9180,13,41,24,21,6,18,20
Herb_Bag_9181,32,30,18,28,13,18,12
Herb_Bag_9182,33,11,23,19,12,30,14
Herb_Bag_9183,15,23,11,7,17,11,17
Herb_Bag_9184,24,7,8,9,13,16,7
Herb_Bag_9185,24,10,20,29,10,22,18
Herb_Bag_9186,20,17,23,20,15,14,16
